00 00000000
01 3A800000
02 3B000000
03 3B400000
04 3B800000
05 3BA00000
06 3BC00000
07 3BE00000
08 3C800000
09 3C900000
0A 3CA00000
0B 3CB00000
0C 3CC00000
0D 3CD00000
0E 3CE00000
0F 3CF00000
10 3D000000
11 3D100000
12 3D200000
13 3D300000
14 3D400000
15 3D500000
16 3D600000
17 3D700000
18 3D800000
19 3D900000
1A 3DA00000
1B 3DB00000
1C 3DC00000
1D 3DD00000
1E 3DE00000
1F 3DF00000
20 3E000000
21 3E100000
22 3E200000
23 3E300000
24 3E400000
25 3E500000
26 3E600000
27 3E700000
28 3E800000
29 3E900000
2A 3EA00000
2B 3EB00000
2C 3EC00000
2D 3ED00000
2E 3EE00000
2F 3EF00000
30 3F000000
31 3F100000
32 3F200000
33 3F300000
34 3F400000
35 3F500000
36 3F600000
37 3F700000
38 3F800000
39 3F900000
3A 3FA00000
3B 3FB00000
3C 3FC00000
3D 3FD00000
3E 3FE00000
3F 3FF00000
40 40000000
41 40100000
42 40200000
43 40300000
44 40400000
45 40500000
46 40600000
47 40700000
48 40800000
49 40900000
4A 40A00000
4B 40B00000
4C 40C00000
4D 40D00000
4E 40E00000
4F 40F00000
50 41000000
51 41100000
52 41200000
53 41300000
54 41400000
55 41500000
56 41600000
57 41700000
58 41800000
59 41900000
5A 41A00000
5B 41B00000
5C 41C00000
5D 41D00000
5E 41E00000
5F 41F00000
60 42000000
61 42100000
62 42200000
63 42300000
64 42400000
65 42500000
66 42600000
67 42700000
68 42800000
69 42900000
6A 42A00000
6B 42B00000
6C 42C00000
6D 42D00000
6E 42E00000
6F 42F00000
70 43000000
71 43100000
72 43200000
73 43300000
74 43400000
75 43500000
76 43600000
77 43700000
78 7F800000
79 7FC00000
7A 7FC00000
7B 7FC00000
7C 7FC00000
7D 7FC00000
7E 7FC00000
7F 7FC00000
80 80000000
81 BA800000
82 BB000000
83 BB400000
84 BB800000
85 BBA00000
86 BBC00000
87 BBE00000
88 BC800000
89 BC900000
8A BCA00000
8B BCB00000
8C BCC00000
8D BCD00000
8E BCE00000
8F BCF00000
90 BD000000
91 BD100000
92 BD200000
93 BD300000
94 BD400000
95 BD500000
96 BD600000
97 BD700000
98 BD800000
99 BD900000
9A BDA00000
9B BDB00000
9C BDC00000
9D BDD00000
9E BDE00000
9F BDF00000
A0 BE000000
A1 BE100000
A2 BE200000
A3 BE300000
A4 BE400000
A5 BE500000
A6 BE600000
A7 BE700000
A8 BE800000
A9 BE900000
AA BEA00000
AB BEB00000
AC BEC00000
AD BED00000
AE BEE00000
AF BEF00000
B0 BF000000
B1 BF100000
B2 BF200000
B3 BF300000
B4 BF400000
B5 BF500000
B6 BF600000
B7 BF700000
B8 BF800000
B9 BF900000
BA BFA00000
BB BFB00000
BC BFC00000
BD BFD00000
BE BFE00000
BF BFF00000
C0 C0000000
C1 C0100000
C2 C0200000
C3 C0300000
C4 C0400000
C5 C0500000
C6 C0600000
C7 C0700000
C8 C0800000
C9 C0900000
CA C0A00000
CB C0B00000
CC C0C00000
CD C0D00000
CE C0E00000
CF C0F00000
D0 C1000000
D1 C1100000
D2 C1200000
D3 C1300000
D4 C1400000
D5 C1500000
D6 C1600000
D7 C1700000
D8 C1800000
D9 C1900000
DA C1A00000
DB C1B00000
DC C1C00000
DD C1D00000
DE C1E00000
DF C1F00000
E0 C2000000
E1 C2100000
E2 C2200000
E3 C2300000
E4 C2400000
E5 C2500000
E6 C2600000
E7 C2700000
E8 C2800000
E9 C2900000
EA C2A00000
EB C2B00000
EC C2C00000
ED C2D00000
EE C2E00000
EF C2F00000
F0 C3000000
F1 C3100000
F2 C3200000
F3 C3300000
F4 C3400000
F5 C3500000
F6 C3600000
F7 C3700000
F8 FF800000
F9 FFC00000
FA FFC00000
FB FFC00000
FC FFC00000
FD FFC00000
FE FFC00000
FF FFC00000
